"","sciname","genus","species","family","order"
"718","Timalia pileata","Timalia","pileata","Muscicapidae","Passeriformes"
"719","Tregellasia leucops","Tregellasia","leucops","Muscicapidae","Passeriformes"
"720","Trichastoma albipectus","Trichastoma","albipectus","Muscicapidae","Passeriformes"
"721","Trichastoma fulvescens","Trichastoma","fulvescens","Muscicapidae","Passeriformes"
"722","Trichastoma rufipenne","Trichastoma","rufipenne","Muscicapidae","Passeriformes"
"723","Trichastoma tickelli","Trichastoma","tickelli","Muscicapidae","Passeriformes"
"724","Trochocercus albiventris","Trochocercus","albiventris","Muscicapidae","Passeriformes"
"725","Trochocercus albonotatus","Trochocercus","albonotatus","Muscicapidae","Passeriformes"
"726","Trochocercus cyanomelas","Trochocercus","cyanomelas","Muscicapidae","Passeriformes"
"727","Trochocercus nitens","Trochocercus","nitens","Muscicapidae","Passeriformes"
"728","Turdoides aylmeri","Turdoides","aylmeri","Muscicapidae","Passeriformes"
"729","Turdoides caudatus","Turdoides","caudatus","Muscicapidae","Passeriformes"
"730","Turdoides fulvus","Turdoides","fulvus","Muscicapidae","Passeriformes"
"731","Turdoides jardineii","Turdoides","jardineii","Muscicapidae","Passeriformes"
"732","Turdoides leucopygius","Turdoides","leucopygius","Muscicapidae","Passeriformes"
"733","Turdoides melanops","Turdoides","melanops","Muscicapidae","Passeriformes"
"734","Turdoides plebejus","Turdoides","plebejus","Muscicapidae","Passeriformes"
"735","Turdoides reinwardtii","Turdoides","reinwardtii","Muscicapidae","Passeriformes"
"736","Turdoides rubiginosus","Turdoides","rubiginosus","Muscicapidae","Passeriformes"
"737","Turdoides squamulatus","Turdoides","squamulatus","Muscicapidae","Passeriformes"
"738","Turdoides striatus","Turdoides","striatus","Muscicapidae","Passeriformes"
"739","Turdus abyssinicus","Turdus","abyssinicus","Muscicapidae","Passeriformes"
"740","Turdus albicollis","Turdus","albicollis","Muscicapidae","Passeriformes"
"741","Turdus falcklandii","Turdus","falcklandii","Muscicapidae","Passeriformes"
"742","Turdus fumigatus","Turdus","fumigatus","Muscicapidae","Passeriformes"
"743","Turdus fuscater","Turdus","fuscater","Muscicapidae","Passeriformes"
"744","Turdus grayi","Turdus","grayi","Muscicapidae","Passeriformes"
"745","Turdus hauxwelli","Turdus","hauxwelli","Muscicapidae","Passeriformes"
"746","Turdus ignobilis","Turdus","ignobilis","Muscicapidae","Passeriformes"
"747","Turdus iliacus","Turdus","iliacus","Muscicapidae","Passeriformes"
"748","Turdus leucomelas","Turdus","leucomelas","Muscicapidae","Passeriformes"
"749","Turdus libonyanus","Turdus","libonyanus","Muscicapidae","Passeriformes"
"750","Coracias benghalensis","Coracias","benghalensis","Coraciidae","Coraciiformes"
"751","Turdus merula","Turdus","merula","Muscicapidae","Passeriformes"
"752","Turdus nigriceps","Turdus","nigriceps","Muscicapidae","Passeriformes"
"753","Turdus nudigenis","Turdus","nudigenis","Muscicapidae","Passeriformes"
"754","Turdus olivaceus","Turdus","olivaceus","Muscicapidae","Passeriformes"
"755","Turdus olivater","Turdus","olivater","Muscicapidae","Passeriformes"
"756","Turdus philomelos","Turdus","philomelos","Muscicapidae","Passeriformes"
"757","Turdus plebejus","Turdus","plebejus","Muscicapidae","Passeriformes"
"758","Turdus plumbeus","Turdus","plumbeus","Muscicapidae","Passeriformes"
"759","Turdus rufiventris","Turdus","rufiventris","Muscicapidae","Passeriformes"
"760","Turdus serranus","Turdus","serranus","Muscicapidae","Passeriformes"
"761","Diglossa lafresnayii","Diglossa","lafresnayii","Emberizidae","Passeriformes"
"762","Diglossa baritula","Diglossa","baritula","Emberizidae","Passeriformes"
"763","Corydon sumatranus","Corydon","sumatranus","Eurylaimidae","Passeriformes"
"764","Smithornis capensis","Smithornis","capensis","Eurylaimidae","Passeriformes"
"765","Smithornis rufolateralis","Smithornis","rufolateralis","Eurylaimidae","Passeriformes"
"766","Psarisomus dalhousiae","Psarisomus","dalhousiae","Eurylaimidae","Passeriformes"
"767","Eurylaimus ochromalus","Eurylaimus","ochromalus","Eurylaimidae","Passeriformes"
"768","Cymbirhynchus macrorhynchos","Cymbirhynchus","macrorhynchos","Eurylaimidae","Passeriformes"
"769","Euphagus carolinus","Euphagus","carolinus","Icteridae","Passeriformes"
"770","Euphagus cyanocephalus","Euphagus","cyanocephalus","Icteridae","Passeriformes"
"771","Lampropsar tanagrinus","Lampropsar","tanagrinus","Icteridae","Passeriformes"
"772","Sturnella magna","Sturnella","magna","Icteridae","Passeriformes"
"773","Sturnella militaris","Sturnella","militaris","Icteridae","Passeriformes"
"774","Sturnella loyca","Sturnella","loyca","Icteridae","Passeriformes"
"775","Scaphidura oryzivora","Scaphidura","oryzivora","Icteridae","Passeriformes"
"776","Picoides lignarius","Picoides","lignarius","Picidae","Piciformes"
"777","Psarocolius yuracares","Psarocolius","yuracares","Icteridae","Passeriformes"
"778","Arremonops conirostris","Arremonops","conirostris","Emberizidae","Passeriformes"
"779","Arremonops rufivirgatus","Arremonops","rufivirgatus","Emberizidae","Passeriformes"
"780","Arremon aurantiirostris","Arremon","aurantiirostris","Emberizidae","Passeriformes"
"781","Arremon abeillei","Arremon","abeillei","Emberizidae","Passeriformes"
"782","Arremon flavirostris","Arremon","flavirostris","Emberizidae","Passeriformes"
"783","Arremon schlegeli","Arremon","schlegeli","Emberizidae","Passeriformes"
"784","Arremon taciturnus","Arremon","taciturnus","Emberizidae","Passeriformes"
"785","Anisognathus flavinuchus","Anisognathus","flavinuchus","Emberizidae","Passeriformes"
"786","Anisognathus igniventris","Anisognathus","igniventris","Emberizidae","Passeriformes"
"787","Anisognathus lacrymosus","Anisognathus","lacrymosus","Emberizidae","Passeriformes"
"788","Amphispiza belli","Amphispiza","belli","Emberizidae","Passeriformes"
"789","Zosterops fuscicapilla","Zosterops","fuscicapilla","Zosteropidae","Passeriformes"
"790","Perdix perdix","Perdix","perdix","Phasianidae","Galliformes"
"791","Lybius dubius","Lybius","dubius","Capitonidae","Piciformes"
"792","Amphispiza sp","Amphispiza","sp","Emberizidae","Passeriformes"
"793","Amphispiza bilineata","Amphispiza","bilineata","Emberizidae","Passeriformes"
"794","Dendrocygna viduata","Dendrocygna","viduata","Anatidae","Anseriformes"
"795","Ammodramus savannarum","Ammodramus","savannarum","Emberizidae","Passeriformes"
"796","Ammodramus caudacutus","Ammodramus","caudacutus","Emberizidae","Passeriformes"
"797","Ammodramus henslowii","Ammodramus","henslowii","Emberizidae","Passeriformes"
"798","Ammodramus aurifrons","Ammodramus","aurifrons","Emberizidae","Passeriformes"
"799","Ammodramus humeralis","Ammodramus","humeralis","Emberizidae","Passeriformes"
"800","Stelgidopteryx ruficollis","Stelgidopteryx","ruficollis","Hirundinidae","Passeriformes"
"801","Riparia riparia","Riparia","riparia","Hirundinidae","Passeriformes"
"802","Riparia cincta","Riparia","cincta","Hirundinidae","Passeriformes"
"803","Riparia paludicola","Riparia","paludicola","Hirundinidae","Passeriformes"
"804","Ptyonoprogne fuligula","Ptyonoprogne","fuligula","Hirundinidae","Passeriformes"
"805","Psalidoprocne albiceps","Psalidoprocne","albiceps","Hirundinidae","Passeriformes"
"806","Psalidoprocne pristoptera","Psalidoprocne","pristoptera","Hirundinidae","Passeriformes"
"807","Carpococcyx renauldi","Carpococcyx","renauldi","Cuculidae","Cuculiformes"
"808","Junco phaeonotus","Junco","phaeonotus","Emberizidae","Passeriformes"
"809","Iridosornis rufivertex","Iridosornis","rufivertex","Emberizidae","Passeriformes"
"810","Heterospingus xanthopygius","Heterospingus","xanthopygius","Emberizidae","Passeriformes"
"811","Hemithraupis flavicollis","Hemithraupis","flavicollis","Emberizidae","Passeriformes"
"812","Hemithraupis guira","Hemithraupis","guira","Emberizidae","Passeriformes"
"813","Cyanerpes lucidus","Cyanerpes","lucidus","Emberizidae","Passeriformes"
"814","Cypsnagra hirundinacea","Cypsnagra","hirundinacea","Emberizidae","Passeriformes"
"815","Dacnis cayana","Dacnis","cayana","Emberizidae","Passeriformes"
"816","Dacnis lineata","Dacnis","lineata","Emberizidae","Passeriformes"
"817","Dacnis venusta","Dacnis","venusta","Emberizidae","Passeriformes"
"818","Diuca diuca","Diuca","diuca","Emberizidae","Passeriformes"
"819","Dubusia taeniata","Dubusia","taeniata","Emberizidae","Passeriformes"
"820","Emberiza schoeniclus","Emberiza","schoeniclus","Emberizidae","Passeriformes"
"821","Emberiza affinis","Emberiza","affinis","Emberizidae","Passeriformes"
"822","Emberiza cabanisi","Emberiza","cabanisi","Emberizidae","Passeriformes"
"823","Emberiza capensis","Emberiza","capensis","Emberizidae","Passeriformes"
"824","Emberiza cia","Emberiza","cia","Emberizidae","Passeriformes"
"825","Emberiza cirlus","Emberiza","cirlus","Emberizidae","Passeriformes"
"826","Emberiza citrinella","Emberiza","citrinella","Emberizidae","Passeriformes"
"827","Emberiza flaviventris","Emberiza","flaviventris","Emberizidae","Passeriformes"
"828","Emberiza impetuani","Emberiza","impetuani","Emberizidae","Passeriformes"
"829","Emberiza striolata","Emberiza","striolata","Emberizidae","Passeriformes"
"830","Emberiza tahapisi","Emberiza","tahapisi","Emberizidae","Passeriformes"
"831","Emberizoides herbicola","Emberizoides","herbicola","Emberizidae","Passeriformes"
"832","Embernagra platensis","Embernagra","platensis","Emberizidae","Passeriformes"
"833","Diglossa albilatera","Diglossa","albilatera","Emberizidae","Passeriformes"
"834","Diglossa caerulescens","Diglossa","caerulescens","Emberizidae","Passeriformes"
"835","Diglossa carbonaria","Diglossa","carbonaria","Emberizidae","Passeriformes"
"836","Diglossa cyanea","Diglossa","cyanea","Emberizidae","Passeriformes"
"837","Aimophila aestivalis","Aimophila","aestivalis","Emberizidae","Passeriformes"
"838","Aimophila carpalis","Aimophila","carpalis","Emberizidae","Passeriformes"
"839","Aimophila quinquestriata","Aimophila","quinquestriata","Emberizidae","Passeriformes"
"840","Aimophila ruficauda","Aimophila","ruficauda","Emberizidae","Passeriformes"
"841","Aimophila ruficeps","Aimophila","ruficeps","Emberizidae","Passeriformes"
"842","Spindalis zena","Spindalis","zena","Emberizidae","Passeriformes"
"843","Cardinalis cardinalis","Cardinalis","cardinalis","Emberizidae","Passeriformes"
"844","Cardinalis sinuatus","Cardinalis","sinuatus","Emberizidae","Passeriformes"
"845","Habia fuscicauda","Habia","fuscicauda","Emberizidae","Passeriformes"
"846","Habia rubica","Habia","rubica","Emberizidae","Passeriformes"
"847","Camarhynchus psittacula","Camarhynchus","psittacula","Emberizidae","Passeriformes"
"848","Cnemoscopus rubrirostris","Cnemoscopus","rubrirostris","Emberizidae","Passeriformes"
"849","Lanio fulvus","Lanio","fulvus","Emberizidae","Passeriformes"
"850","Lanio leucothorax","Lanio","leucothorax","Emberizidae","Passeriformes"
"851","Lanio versicolor","Lanio","versicolor","Emberizidae","Passeriformes"
"852","Chamaea fasciata","Chamaea","fasciata","Muscicapidae","Passeriformes"
"853","Chasiempis sandwichensis","Chasiempis","sandwichensis","Muscicapidae","Passeriformes"
"854","Chloropeta natalensis","Chloropeta","natalensis","Muscicapidae","Passeriformes"
"855","Chrysomma sinense","Chrysomma","sinense","Muscicapidae","Passeriformes"
"856","Cichladusa guttata","Cichladusa","guttata","Muscicapidae","Passeriformes"
"857","Cercomela familiaris","Cercomela","familiaris","Muscicapidae","Passeriformes"
"858","Cercomela melanura","Cercomela","melanura","Muscicapidae","Passeriformes"
"859","Cercomela sordida","Cercomela","sordida","Muscicapidae","Passeriformes"
"860","Cisticola ayresii","Cisticola","ayresii","Muscicapidae","Passeriformes"
"861","Cisticola brachyptera","Cisticola","brachyptera","Muscicapidae","Passeriformes"
"862","Cisticola brunnescens","Cisticola","brunnescens","Muscicapidae","Passeriformes"
"863","Cisticola cantans","Cisticola","cantans","Muscicapidae","Passeriformes"
"864","Cisticola chiniana","Cisticola","chiniana","Muscicapidae","Passeriformes"
"865","Cisticola erythrops","Cisticola","erythrops","Muscicapidae","Passeriformes"
"866","Cisticola exilis","Cisticola","exilis","Muscicapidae","Passeriformes"
"867","Cisticola eximia","Cisticola","eximia","Muscicapidae","Passeriformes"
"868","Cisticola fulvicapilla","Cisticola","fulvicapilla","Muscicapidae","Passeriformes"
"869","Cisticola galactotes","Cisticola","galactotes","Muscicapidae","Passeriformes"
"870","Cisticola juncidis","Cisticola","juncidis","Muscicapidae","Passeriformes"
"871","Cisticola lais","Cisticola","lais","Muscicapidae","Passeriformes"
"872","Cisticola lateralis","Cisticola","lateralis","Muscicapidae","Passeriformes"
"873","Cisticola natalensis","Cisticola","natalensis","Muscicapidae","Passeriformes"
"874","Cisticola robusta","Cisticola","robusta","Muscicapidae","Passeriformes"
"875","Cisticola ruficeps","Cisticola","ruficeps","Muscicapidae","Passeriformes"
"876","Cisticola woosnami","Cisticola","woosnami","Muscicapidae","Passeriformes"
"877","Cisticola aberrans","Cisticola","aberrans","Muscicapidae","Passeriformes"
"878","Cisticola hunteri","Cisticola","hunteri","Muscicapidae","Passeriformes"
"879","Colluricincla harmonica","Colluricincla","harmonica","Muscicapidae","Passeriformes"
"880","Colluricincla megarhyncha","Colluricincla","megarhyncha","Muscicapidae","Passeriformes"
"881","Copsychus malabarica","Copsychus","malabarica","Muscicapidae","Passeriformes"
"882","Copsychus malabaricus","Copsychus","malabaricus","Muscicapidae","Passeriformes"
"883","Copsychus luzoniensis","Copsychus","luzoniensis","Muscicapidae","Passeriformes"
"884","Copsychus niger","Copsychus","niger","Muscicapidae","Passeriformes"
"885","Copsychus saularis","Copsychus","saularis","Muscicapidae","Passeriformes"
"886","Cossypha albicapilla","Cossypha","albicapilla","Muscicapidae","Passeriformes"
"887","Cossypha bocagei","Cossypha","bocagei","Muscicapidae","Passeriformes"
"888","Cossypha roberti","Cossypha","roberti","Muscicapidae","Passeriformes"
"889","Cossypha caffra","Cossypha","caffra","Muscicapidae","Passeriformes"
"890","Cossypha cyanocampter","Cossypha","cyanocampter","Muscicapidae","Passeriformes"
"891","Cossypha heuglini","Cossypha","heuglini","Muscicapidae","Passeriformes"
"892","Cossypha humeralis","Cossypha","humeralis","Muscicapidae","Passeriformes"
"893","Cossypha natalensis","Cossypha","natalensis","Muscicapidae","Passeriformes"
"894","Cossypha polioptera","Cossypha","polioptera","Muscicapidae","Passeriformes"
"895","Cossypha semirufa","Cossypha","semirufa","Muscicapidae","Passeriformes"
"896","Crateroscelis murina","Crateroscelis","murina","Muscicapidae","Passeriformes"
"897","Crateroscelis robusta","Crateroscelis","robusta","Muscicapidae","Passeriformes"
"898","Megalurus palustris","Megalurus","palustris","Muscicapidae","Passeriformes"
"899","Acrocephalus aedon","Acrocephalus","aedon","Muscicapidae","Passeriformes"
"900","Acrocephalus arundinaceus","Acrocephalus","arundinaceus","Muscicapidae","Passeriformes"
"901","Acrocephalus baeticatus","Acrocephalus","baeticatus","Muscicapidae","Passeriformes"
"902","Acrocephalus scirpaceus","Acrocephalus","scirpaceus","Muscicapidae","Passeriformes"
"903","Alcippe abyssinica","Alcippe","abyssinica","Muscicapidae","Passeriformes"
"904","Alcippe morrisonia","Alcippe","morrisonia","Muscicapidae","Passeriformes"
"905","Alcippe poioicephala","Alcippe","poioicephala","Muscicapidae","Passeriformes"
"906","Alcippe rufogularis","Alcippe","rufogularis","Muscicapidae","Passeriformes"
"907","Alethe diademata","Alethe","diademata","Muscicapidae","Passeriformes"
"908","Alethe poliocephala","Alethe","poliocephala","Muscicapidae","Passeriformes"
"909","Amalocichla incerta","Amalocichla","incerta","Muscicapidae","Passeriformes"
"910","Apalis binotata","Apalis","binotata","Muscicapidae","Passeriformes"
"911","Apalis cinerea","Apalis","cinerea","Muscicapidae","Passeriformes"
"912","Apalis flavida","Apalis","flavida","Muscicapidae","Passeriformes"
"913","Apalis jacksoni","Apalis","jacksoni","Muscicapidae","Passeriformes"
"914","Apalis melanocephala","Apalis","melanocephala","Muscicapidae","Passeriformes"
"915","Apalis nigriceps","Apalis","nigriceps","Muscicapidae","Passeriformes"
"916","Apalis porphyrolaema","Apalis","porphyrolaema","Muscicapidae","Passeriformes"
"917","Apalis pulchra","Apalis","pulchra","Muscicapidae","Passeriformes"
"918","Apalis rufogularis","Apalis","rufogularis","Muscicapidae","Passeriformes"
"919","Apalis thoracica","Apalis","thoracica","Muscicapidae","Passeriformes"
"920","Cercotrichas podobe","Cercotrichas","podobe","Muscicapidae","Passeriformes"
"921","Bathmocercus cerviniventris","Bathmocercus","cerviniventris","Muscicapidae","Passeriformes"
"922","Batis fratrum","Batis","fratrum","Muscicapidae","Passeriformes"
"923","Philydor rufus","Philydor","rufus","Furnariidae","Passeriformes"
"924","Philydor striaticollis","Philydor","striaticollis","Furnariidae","Passeriformes"
"925","Philydor strigilatus","Philydor","strigilatus","Furnariidae","Passeriformes"
"926","Philydor subalaris","Philydor","subalaris","Furnariidae","Passeriformes"
"927","Volatinia jacarina","Volatinia","jacarina","Emberizidae","Passeriformes"
"928","Tiaris fuliginosa","Tiaris","fuliginosa","Emberizidae","Passeriformes"
"929","Tiaris olivacea","Tiaris","olivacea","Emberizidae","Passeriformes"
"930","Tiaris bicolor","Tiaris","bicolor","Emberizidae","Passeriformes"
"931","Thraupis bonariensis","Thraupis","bonariensis","Emberizidae","Passeriformes"
"932","Thraupis cyanocephala","Thraupis","cyanocephala","Emberizidae","Passeriformes"
"933","Thraupis palmarum","Thraupis","palmarum","Emberizidae","Passeriformes"
"934","Thraupis sayaca","Thraupis","sayaca","Emberizidae","Passeriformes"
"935","Thraupis episcopus","Thraupis","episcopus","Emberizidae","Passeriformes"
"936","Anthus hodgsoni","Anthus","hodgsoni","Motacillidae","Passeriformes"
"937","Anthus lutescens","Anthus","lutescens","Motacillidae","Passeriformes"
"938","Anthus trivialis","Anthus","trivialis","Motacillidae","Passeriformes"
"939","Anthus bogotensis","Anthus","bogotensis","Motacillidae","Passeriformes"
"940","Anthus correndera","Anthus","correndera","Motacillidae","Passeriformes"
"941","Anthus leucophrys","Anthus","leucophrys","Motacillidae","Passeriformes"
"942","Anthus novaeseelandiae","Anthus","novaeseelandiae","Motacillidae","Passeriformes"
"943","Anthus pratensis","Anthus","pratensis","Motacillidae","Passeriformes"
"944","Anthus similis","Anthus","similis","Motacillidae","Passeriformes"
"945","Anthus vaalensis","Anthus","vaalensis","Motacillidae","Passeriformes"
"946","Donacobius atricapillus","Donacobius","atricapillus","Mimidae","Passeriformes"
"947","Nesomimus trifasciatus","Nesomimus","trifasciatus","Mimidae","Passeriformes"
"948","Poephila personata","Poephila","personata","Estrildidae","Passeriformes"
"949","Aegintha temporalis","Aegintha","temporalis","Estrildidae","Passeriformes"
"950","Amadina erythrocephala","Amadina","erythrocephala","Estrildidae","Passeriformes"
"951","Amadina fasciata","Amadina","fasciata","Estrildidae","Passeriformes"
"952","Lagonosticta larvata","Lagonosticta","larvata","Estrildidae","Passeriformes"
"953","Lagonosticta rara","Lagonosticta","rara","Estrildidae","Passeriformes"
"954","Lagonosticta rhodopareia","Lagonosticta","rhodopareia","Estrildidae","Passeriformes"
"955","Lagonosticta rubricata","Lagonosticta","rubricata","Estrildidae","Passeriformes"
"956","Lagonosticta rufopicta","Lagonosticta","rufopicta","Estrildidae","Passeriformes"
"957","Lagonosticta senegala","Lagonosticta","senegala","Estrildidae","Passeriformes"
"958","Cryptospiza reichenovii","Cryptospiza","reichenovii","Estrildidae","Passeriformes"
"959","Cryptospiza salvadorii","Cryptospiza","salvadorii","Estrildidae","Passeriformes"
"960","Erythrura sp","Erythrura","sp","Estrildidae","Passeriformes"
"961","Erythrura cyaneovirens","Erythrura","cyaneovirens","Estrildidae","Passeriformes"
"962","Erythrura prasina","Erythrura","prasina","Estrildidae","Passeriformes"
"963","Erythrura trichroa","Erythrura","trichroa","Estrildidae","Passeriformes"
"964","Estrilda erythronotus","Estrilda","erythronotus","Estrildidae","Passeriformes"
"965","Estrilda melanotis","Estrilda","melanotis","Estrildidae","Passeriformes"
"966","Campylorhamphus sp","Campylorhamphus","sp","Dendrocolaptidae","Passeriformes"
"967","Campylorhamphus trochilirostris","Campylorhamphus","trochilirostris","Dendrocolaptidae","Passeriformes"
"968","Deconychura longicauda","Deconychura","longicauda","Dendrocolaptidae","Passeriformes"
"969","Deconychura stictolaema","Deconychura","stictolaema","Dendrocolaptidae","Passeriformes"
"970","Glyphorhynchus spirurus","Glyphorhynchus","spirurus","Dendrocolaptidae","Passeriformes"
"971","Prionochilus plateni","Prionochilus","plateni","Dicaeidae","Passeriformes"
"972","Dicaeum agile","Dicaeum","agile","Dicaeidae","Passeriformes"
"973","Dicaeum australe","Dicaeum","australe","Dicaeidae","Passeriformes"
"974","Dicaeum chrysorrheum","Dicaeum","chrysorrheum","Dicaeidae","Passeriformes"
"975","Dicaeum concolor","Dicaeum","concolor","Dicaeidae","Passeriformes"
"976","Dicaeum cruentatum","Dicaeum","cruentatum","Dicaeidae","Passeriformes"
"977","Dicaeum eximium","Dicaeum","eximium","Dicaeidae","Passeriformes"
"978","Dicaeum pygmaeum","Dicaeum","pygmaeum","Dicaeidae","Passeriformes"
"979","Dicaeum trigonostigma","Dicaeum","trigonostigma","Dicaeidae","Passeriformes"
"980","Melanocharis longicauda","Melanocharis","longicauda","Dicaeidae","Passeriformes"
"981","Melanocharis nigra","Melanocharis","nigra","Dicaeidae","Passeriformes"
"982","Pardalotus melanocephalus","Pardalotus","melanocephalus","Dicaeidae","Passeriformes"
"983","Dicrurus sp","Dicrurus","sp","Dicruridae","Passeriformes"
"984","Dicrurus adsimilis","Dicrurus","adsimilis","Dicruridae","Passeriformes"
"985","Dicrurus aeneus","Dicrurus","aeneus","Dicruridae","Passeriformes"
"986","Dicrurus balicassius","Dicrurus","balicassius","Dicruridae","Passeriformes"
"987","Dicrurus caerulescens","Dicrurus","caerulescens","Dicruridae","Passeriformes"
"988","Dicrurus forficatus","Dicrurus","forficatus","Dicruridae","Passeriformes"
"989","Dicrurus hottentottus","Dicrurus","hottentottus","Dicruridae","Passeriformes"
"990","Dicrurus leucophaeus","Dicrurus","leucophaeus","Dicruridae","Passeriformes"
"991","Dicrurus ludwigii","Dicrurus","ludwigii","Dicruridae","Passeriformes"
"992","Dicrurus macrocercus","Dicrurus","macrocercus","Dicruridae","Passeriformes"
"993","Dicrurus paradiseus","Dicrurus","paradiseus","Dicruridae","Passeriformes"
"994","Telespiza ultima","Telespiza","ultima","Drepanididae","Passeriformes"
"995","Hemignathus virens","Hemignathus","virens","Drepanididae","Passeriformes"
"996","Himatione sanguinea","Himatione","sanguinea","Drepanididae","Passeriformes"
"997","Loxops coccineus","Loxops","coccineus","Drepanididae","Passeriformes"
"998","Psittirostra cantans","Psittirostra","cantans","Drepanididae","Passeriformes"
"999","Passerculus sandwichensis","Passerculus","sandwichensis","Emberizidae","Passeriformes"
"1000","Zenaida galapagoensis","Zenaida","galapagoensis","Columbidae","Columbiformes"
"1001","Automolus rufipileatus","Automolus","rufipileatus","Furnariidae","Passeriformes"
"1002","Philydor erythrocercus","Philydor","erythrocercus","Furnariidae","Passeriformes"
"1003","Philydor erythropterus","Philydor","erythropterus","Furnariidae","Passeriformes"
"1004","Hirundo aethiopica","Hirundo","aethiopica","Hirundinidae","Passeriformes"
"1005","Hirundo angolensis","Hirundo","angolensis","Hirundinidae","Passeriformes"
"1006","Hirundo lucida","Hirundo","lucida","Hirundinidae","Passeriformes"
"1007","Hirundo smithii","Hirundo","smithii","Hirundinidae","Passeriformes"
"1008","Delichon urbica","Delichon","urbica","Hirundinidae","Passeriformes"
"1009","Cecropis abyssinica","Cecropis","abyssinica","Hirundinidae","Passeriformes"
"1010","Cecropis daurica","Cecropis","daurica","Hirundinidae","Passeriformes"
"1011","Cecropis semirufa","Cecropis","semirufa","Hirundinidae","Passeriformes"
"1012","Cecropis senegalensis","Cecropis","senegalensis","Hirundinidae","Passeriformes"
"1013","Cecropis striolata","Cecropis","striolata","Hirundinidae","Passeriformes"
"1014","Petrochelidon pyrrhonota","Petrochelidon","pyrrhonota","Hirundinidae","Passeriformes"
"1015","Vanellus indicus","Vanellus","indicus","Charadriidae","Charadriiformes"
"1016","Pytilia melba","Pytilia","melba","Estrildidae","Passeriformes"
"1017","Pytilia phoenicoptera","Pytilia","phoenicoptera","Estrildidae","Passeriformes"
"1018","Mandingoa nitidula","Mandingoa","nitidula","Estrildidae","Passeriformes"
"1019","Neochmia ruficauda","Neochmia","ruficauda","Estrildidae","Passeriformes"
"1020","Nigrita canicapilla","Nigrita","canicapilla","Estrildidae","Passeriformes"
"1021","Nigrita fusconota","Nigrita","fusconota","Estrildidae","Passeriformes"
"1022","Nigrita bicolor","Nigrita","bicolor","Estrildidae","Passeriformes"
"1023","Nigrita luteifrons","Nigrita","luteifrons","Estrildidae","Passeriformes"
"1024","Ortygospiza atricollis","Ortygospiza","atricollis","Estrildidae","Passeriformes"
"1025","Parmoptila woodhouseii","Parmoptila","woodhouseii","Estrildidae","Passeriformes"
"1026","Parmoptila woodhousei","Parmoptila","woodhousei","Estrildidae","Passeriformes"
"1027","Toxostoma rufum","Toxostoma","rufum","Mimidae","Passeriformes"
"1028","Toxostoma cinereum","Toxostoma","cinereum","Mimidae","Passeriformes"
"1029","Toxostoma curvirostre","Toxostoma","curvirostre","Mimidae","Passeriformes"
"1030","Melanotis caerulescens","Melanotis","caerulescens","Mimidae","Passeriformes"
"1031","Acanthorhynchus tenuirostris","Acanthorhynchus","tenuirostris","Meliphagidae","Passeriformes"
"1032","Philemon buceroides","Philemon","buceroides","Meliphagidae","Passeriformes"
"1033","Philemon citreogularis","Philemon","citreogularis","Meliphagidae","Passeriformes"
"1034","Philemon cockerelli","Philemon","cockerelli","Meliphagidae","Passeriformes"
"1035","Philemon corniculatus","Philemon","corniculatus","Meliphagidae","Passeriformes"
"1036","Philemon novaeguineae","Philemon","novaeguineae","Meliphagidae","Passeriformes"
"1037","Phylidonyris novaehollandiae","Phylidonyris","novaehollandiae","Meliphagidae","Passeriformes"
"1038","Promerops gurneyi","Promerops","gurneyi","Meliphagidae","Passeriformes"
"1039","Prosthemadera novaeseelandiae","Prosthemadera","novaeseelandiae","Meliphagidae","Passeriformes"
"1040","Ptiloprora guisei","Ptiloprora","guisei","Meliphagidae","Passeriformes"
"1041","Toxorhamphus poliopterus","Toxorhamphus","poliopterus","Meliphagidae","Passeriformes"
"1042","Oedistoma iliolophum","Oedistoma","iliolophum","Meliphagidae","Passeriformes"
"1043","Entomyzon cyanotis","Entomyzon","cyanotis","Meliphagidae","Passeriformes"
"1044","Anthornis melanura","Anthornis","melanura","Meliphagidae","Passeriformes"
"1045","Myzomela cineracea","Myzomela","cineracea","Meliphagidae","Passeriformes"
"1046","Myzomela cruentata","Myzomela","cruentata","Meliphagidae","Passeriformes"
"1047","Myzomela nigrita","Myzomela","nigrita","Meliphagidae","Passeriformes"
"1048","Myzomela obscura","Myzomela","obscura","Meliphagidae","Passeriformes"
"1049","Myzomela sanguinolenta","Myzomela","sanguinolenta","Meliphagidae","Passeriformes"
"1050","Anthochaera carunculata","Anthochaera","carunculata","Meliphagidae","Passeriformes"
"1051","Anthochaera chrysoptera","Anthochaera","chrysoptera","Meliphagidae","Passeriformes"
"1052","Lichmera indistincta","Lichmera","indistincta","Meliphagidae","Passeriformes"
"1053","Manorina melanocephala","Manorina","melanocephala","Meliphagidae","Passeriformes"
"1054","Melidectes belfordi","Melidectes","belfordi","Meliphagidae","Passeriformes"
"1055","Melidectes torquatus","Melidectes","torquatus","Meliphagidae","Passeriformes"
"1056","Melilestes megarhynchus","Melilestes","megarhynchus","Meliphagidae","Passeriformes"
"1057","Meliphaga chrysops","Meliphaga","chrysops","Meliphagidae","Passeriformes"
"1058","Meliphaga fusca","Meliphaga","fusca","Meliphagidae","Passeriformes"
