transaction,n_specimen,recipient,date
TL.2006.3.1-51,51,"Livezey, Bradley C.  - Carnegie Museum of Natural History; Carnegie Museum of Natural History - Section of Birds",
TL.2003.13.1-14,14,"Willard, David E.  - Field Museum of Natural History; Field Museum of Natural History - Division of Birds",
TL.2001.9.1-63,63,"Graves, Gary R.  - Smithsonian Institution; Dean, James P.  - Smithsonian Institution; Smithsonian Institution - Division of Birds - National Museum of Natural History",
TL.2006.2.1-10,10,"Smithsonian Institution - Division of Birds - National Museum of Natural History; Dean, James P.  - Smithsonian Institution",
TL.2006.5.1-8,8,"Molina, Kathy C.  - University of California, Los Angeles; University of California, Los Angeles - Department of Biology",
TL.2006.6.1-46,46,"Willard, David E.  - Field Museum of Natural History; Field Museum of Natural History",
L.20,232,"Lamb, Chester C.",
L.26,48,"Lamb, Chester C.",
17560,0,Los Angeles County Department of Parks and Recreation - Deane Dana Friendship Park Nature Center,
TL.2019.8.1,6,"Bowie, Rauri C.K.  - University of California, Berkeley; Cicero, Carla  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",
105,5,"Universidad Nacional de Colombia - Instituto de Ciencias Naturales; Borrero H., Jose Ignacio  - Universidad Nacional de Colombia",
L.1050,2,"Van Brunt, W. A.",
L.11,900,"Richardson, Charles H.",
L.2418.61-1-72,72,Museum of Northern Arizona,
L.601,99,Cooper Ornithological Society,
266,1,"De Roo, M. Anton  - Musee Royal de l'Afrique Centrale; Musee Royal de l'Afrique Centrale",
L.497,225,"Granville, Fred",
L.2725.81-1-2,2,"Marks, Hillary",
17693,10,"Gibson, Hannah  - Museum Associates d/b/a Los Angeles County Museum of Art; Museum Associates d/b/a Los Angeles County Museum of Art",
L.19,1,"Howell, A. B.",
13703,1,"Guthrie, Daniel A.  - Pomona/Claremont Colleges; Pomona/Claremont Colleges - Keck Science Center",
6203,2,"Singer, P.B.",1/3/1977
14563,4,"McEntee, Holly  - University of Wisconsin Zoological Museum; Pillaert, E. Elizabeth  - University of Wisconsin Zoological Museum; University of Wisconsin, Madison - Zoological Museum",
16154,13,"Allen, Larry W.  - Los Angeles Audubon Society; Allen, Larry W.  - Los Angeles Audubon Society",
3698,56,"Rea, Amadeo M.  - University of Arizona; University of Arizona - Department of Biological Sciences",
15343,5,"Chinsamy-Turan, Anusuya  - University of Cape Town; University of Cape Town - Zoology Department",
10925,2,"Gene Autry Western Heritage Museum - Mary Pickford Education Center; Burton, Cathy Anne  - Gene Autry Western Heritage Museum",
139,2,"Hood, Mary N.  - Los Angeles Audubon Society; Los Angeles Audubon Society",
15382,9,"Chklovski, Tara  - University of Southern California; Lim, Larry  - University of Southern California; University of Southern California - USC MESA Program",
14928,11,"Hayes, Floyd E.  - Pacific Union College; Pacific Union College - Department of Biology",
7565,4,"Kellogg, Carolyn  - Scripps Institute of Oceanography; Rush, Diane  - Scripps Institute of Oceanography; Scripps Institute of Oceanography - Aquarium Museum",
15137,23,"Audubon California - Starr Ranch Sanctuary; Stewart, Becky  - Audubon California",
14165,3,"Caragodin, Igor  - Ancient Taxidermy; Ancient Taxidermy",
6348,25,"Gerhard, Don  - Orange County - O'Neil Park; Orange County - O'Neil Park",
12750,1,"Schulenberg, Thomas S.  - Field Museum of Natural History; Field Museum of Natural History - Research and Collections - Department of Zoology",
15592,6,"Bourdon, Estelle  - Universite Pierre et Marie Curie; Universite Pierre et Marie Curie - UMR 7179",
15275,2,"Rasmussen, Pamela  - Michigan State University Museum; Michigan State University Museum",
12617,1,"Mount Washington Elementary School; Gravino, Georgina  - Mount Washington Elementary School",
10613,1,"Caldwell, George V.",
186,1,"Hayes, Robert H.  - Boy Scouts of America; Boy Scouts of America - Verdugo Hills Council",
8.2009.45,16,"Smith, Thomas B.  - UCLA Institute for the Environment; UCLA Institute for the Environment - Center for Tropical Research",
15593,21,"Barker, F. Keith  - University of Minnesota; University of Minnesota - Bell Museum of Natural History",
8.2009.42,7,"Smith, Thomas B.  - UCLA Institute for the Environment; UCLA Institute for the Environment - Center for Tropical Research",
12706,1,"California Academy of Sciences - Department of Birds and Mammals; Baptista, Luis F.  - California Academy of Sciences; Dumbacher, Jack P.  - California Academy of Sciences; Flannery, Maureen  - California Academy of Sciences",
15613,2,"University of Michigan - Department of Ecology and Evolutionary Biology - Museum of Zoology; Payne, Robert B.  - University of Michigan",
15506,35,"Payne, Robert B.  - University of Michigan; University of Michigan - Department of Ecology and Evolutionary Biology - Museum of Zoology",
14703,2,"Johnson, Ned K.  - University of California; Cicero, Carla  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",
TL.97.99.1-41,41,"Sibley, Fred C.  - Yale University; Yale University - Division of Vertebrate Zoology - Peabody Museum of Natural History",
8.2008.14,6,"Sorenson, Michael  - Boston University; Boston University - Department of Biology",
15901,65,"Berns, Chelsea  - Iowa State University; Adams, Dean C.  - Iowa State University; Iowa State University - Department of Ecology, Evolution, and Organismal Biology",
15919,37,"Berns, Chelsea  - Iowa State University; Adams, Dean C.  - Iowa State University; Iowa State University - Department of Ecology, Evolution, and Organismal Biology",
15883,99,"Kirschel, Alex  - University of California, Los Angeles; University of California, Los Angeles - Department of Ecology and Evolutionary Biology",
15905,80,"Greenberg, Russell  - Smithsonian Institution; Dean, James P.  - Smithsonian Institution; Smithsonian Institution - Division of Birds",
15888,9,"Claremont Colleges - W. M. Keck Science Center; Guthrie, Daniel A.  - Claremont Colleges",
15945,55,"Adams, Dean C.  - Iowa State University; Iowa State University - Department of Ecology, Evolution, and Organismal Biology; Berns, Chelsea  - Iowa State University",
8.2011.9,1,"Frye, Kylan W.  - Hawk Watch International; Hawk Watch International",5/19/2011
15975,52,"Adams, Dean C.  - Iowa State University; Iowa State University - Department of Ecology, Evolution, and Organismal Biology",
15992,75,"Greenberg, Russell  - Smithsonian Institution; Dean, James P.  - Smithsonian Institution; Smithsonian Institution - Division of Birds - National Museum of Natural History",
16027,10,"The College of New Jersey - Department of Biology; Butler, Luke K.  - The College of New Jersey",
16058,12,"Cornell University; Bostwick, Kim  - Cornell University; Chazaretta, Laura  - Cornell University Museum of Vertebrates",
16066,10,"Chazaretta, Laura  - Cornell University Museum of Vertebrates; Bostwick, Kim  - Cornell University; Cornell University",
16100,24,"Adams, Dean C.  - Iowa State University; Iowa State University - Department of Ecology, Evolution, and Organismal Biology",
16123,3,"Stegner, Allison  - University of California; Barnosky, Anthony D.  - University of California; University of California, Berkeley - Museum of Paleontology",
16134,4,"Iowa State University - Department of Ecology, Evolution, and Organismal Biology; Adams, Dean C.  - Iowa State University",
16167,35,"Bleiweiss, Robert  - University of Wisconsin - Madison; University of Wisconsin, Madison - Zoological Museum",
16179,5,"Klicka, John  - Marjorie Barrick Museum of Natural History; Smith, Brian T.  - Marjorie Barrick Museum of Natural History; Marjorie Barrick Museum of Art",
16204,4,"Smith, Brian T.  - Marjorie Barrick Museum of Natural History; Marjorie Barrick Museum of Art",
16653,12,"Allen, Larry W.  - Los Angeles Audubon Society; Los Angeles Audubon Society",1/24/2014
16735,5,"Hochgraf, Susan  - University of Connecticut; University of Connecticut - Department of Ecology and Evolutionary Biology; Block, Kali  - University of Connecticut",5/16/2014
12803,1,"University of Washington - Burke Museum; Spaw, Carol  - University of Washington",
16006,53,"Kirschel, Alex  - University of California, Los Angeles; University of California, Los Angeles - Department of Ecology and Evolutionary Biology",
16360,72,"Jorgensen, Peter  - University of California, Berkeley; Bowie, Rauri C.K.  - University of California, Berkeley; University of California, Berkeley - Museum of Vertebrate Zoology",
16380,1,"Guthrie, Daniel A.  - Pomona/Claremont Colleges; The Claremont Colleges - Keck Science Center",
16419,3,"Bates, John  - Field Museum of Natural History; Field Museum of Natural History - Research and Collections - Department of Zoology",
16443,7,"Saucier, Jacob  - University of Wyoming; Carling, Matt  - University of Wyoming; University of Wyoming - Berry Biodiversity Conservation Center",
16450,36,"Bleiweiss, Robert  - Univeristy of Wisconsin - Madison; University of Wisconsin, Madison - Zoological Museum",
16466,2,"Bates, John  - Field Museum of Natural History; Field Museum of Natural History - Research and Collections - Department of Zoology",
16482,7,"Saucier, Jacob  - University of Wyoming; Carling, Matt  - University of Wyoming; University of Wyoming - Berry Biodiversity Conservation Center",
16485,12,"Allen, Larry W.  - Los Angeles Audubon Society; Los Angeles Audubon Society",1/27/2013
